bioguide_id,full_name,communication_count,attack_personal,outcome_bipartisanship,attack_personal_pct,outcome_bipartisanship_pct,attack_personal_norm,outcome_bipartisanship_norm,attack_personal_pct_norm,outcome_bipartisanship_pct_norm
L000273,Teresa Leger Fernandez,200.0,20.0,12.0,10.0,6.0,56.94311238473351,31.23040338222601,94.36143038930055,41.342239885844904
L000397,Zoe Lofgren,57.0,3.0,4.0,5.263157894736842,7.017543859649122,32.499640115792296,18.771384182753586,65.16157495700458,51.03122630237693
L000491,Frank Lucas,37.0,0.0,1.0,0.0,2.7027027027027026,28.613247652723473,15.027941766894298,17.376426176168696,15.591979648444005
L000557,John Larson,287.0,14.0,25.0,4.878048780487805,8.710801393728223,48.12695827714766,56.191698732131215,61.5023571052068,66.74508230811989
L000560,Rick Larsen,106.0,2.0,10.0,1.8867924528301887,9.433962264150944,31.1800069324024,27.806964536365253,32.170684187182275,72.79821900361036
L000562,Stephen Lynch,73.0,3.0,8.0,4.10958904109589,10.95890410958904,32.499640115792296,24.577639682883927,53.91851475385481,83.47964620623665
L000566,Robert Latta,134.0,0.0,8.0,0.0,5.970149253731343,28.613247652723473,24.577639682883927,17.376426176168696,41.062961991284205
L000570,Ben Lujan,,15.27,21.86,3.72,6.91,50.0,50.0,50.0,50.0
L000571,Cynthia Lummis,399.0,6.0,36.0,1.5037593984962405,9.022556390977442,36.586489164124316,75.85783944645921,28.78568051339807,69.42123323017552
L000575,James Lankford,509.0,1.0,40.0,0.19646365422396855,7.858546168958743,29.88410532808442,81.60058933970689,18.679150216478334,59.01830624944421
L000577,Mike Lee,352.0,11.0,16.0,3.125,4.545454545454546,43.72622037741582,38.55949306930117,44.028269352480535,28.48815765331564
L000578,Doug LaMalfa,1409.0,25.0,28.0,1.7743080198722498,1.98722498225692,64.05155879944215,61.970825084634875,31.15942841188109,11.83333744310734
L000582,Ted Lieu,269.0,11.0,15.0,4.089219330855019,5.5762081784386615,43.72622037741582,36.676009636889034,53.714244100824814,37.42480399151141
L000583,Barry Loudermilk,135.0,1.0,10.0,0.7407407407407408,7.4074074074074066,29.88410532808442,27.806964536365253,22.592385146980043,54.75877460231837
